date,interest,keyword
2022-11-01,17,Dickens Christmas
2022-11-02,18,Dickens Christmas
2022-11-03,15,Dickens Christmas
2022-11-04,17,Dickens Christmas
2022-11-05,20,Dickens Christmas
2022-11-06,17,Dickens Christmas
2022-11-07,20,Dickens Christmas
2022-11-08,18,Dickens Christmas
2022-11-09,18,Dickens Christmas
2022-11-10,30,Dickens Christmas
2022-11-11,28,Dickens Christmas
2022-11-12,27,Dickens Christmas
2022-11-13,24,Dickens Christmas
2022-11-14,34,Dickens Christmas
2022-11-15,30,Dickens Christmas
2022-11-16,31,Dickens Christmas
2022-11-17,30,Dickens Christmas
2022-11-18,29,Dickens Christmas
2022-11-19,36,Dickens Christmas
2022-11-20,38,Dickens Christmas
2022-11-21,29,Dickens Christmas
2022-11-22,28,Dickens Christmas
2022-11-23,33,Dickens Christmas
2022-11-24,29,Dickens Christmas
2022-11-25,45,Dickens Christmas
2022-11-26,58,Dickens Christmas
2022-11-27,58,Dickens Christmas
2022-11-28,64,Dickens Christmas
2022-11-29,60,Dickens Christmas
2022-11-30,59,Dickens Christmas
2022-12-01,53,Dickens Christmas
2022-12-02,78,Dickens Christmas
2022-12-03,90,Dickens Christmas
2022-12-04,75,Dickens Christmas
2022-12-05,66,Dickens Christmas
2022-12-06,75,Dickens Christmas
2022-12-07,62,Dickens Christmas
2022-12-08,70,Dickens Christmas
2022-12-09,76,Dickens Christmas
2022-12-10,100,Dickens Christmas
2022-12-11,90,Dickens Christmas
2022-12-12,66,Dickens Christmas
2022-12-13,48,Dickens Christmas
2022-12-14,63,Dickens Christmas
2022-12-15,64,Dickens Christmas
2022-12-16,62,Dickens Christmas
2022-12-17,52,Dickens Christmas
2022-12-18,59,Dickens Christmas
2022-12-19,51,Dickens Christmas
2022-12-20,49,Dickens Christmas
2022-12-21,37,Dickens Christmas
2022-12-22,37,Dickens Christmas
2022-12-23,48,Dickens Christmas
2022-12-24,62,Dickens Christmas
2022-12-25,97,Dickens Christmas
2022-12-26,54,Dickens Christmas
2022-12-27,27,Dickens Christmas
2022-12-28,18,Dickens Christmas
2022-12-29,16,Dickens Christmas
2022-12-30,11,Dickens Christmas
2022-12-31,10,Dickens Christmas
2023-01-01,10,Dickens Christmas
2023-01-02,9,Dickens Christmas
2023-01-03,8,Dickens Christmas
2023-01-04,12,Dickens Christmas
2023-01-05,10,Dickens Christmas
2023-01-06,7,Dickens Christmas
2023-01-07,8,Dickens Christmas
2023-01-08,8,Dickens Christmas
2023-01-09,5,Dickens Christmas
2023-01-10,0,Dickens Christmas
2023-01-11,8,Dickens Christmas
2023-01-12,8,Dickens Christmas
2023-01-13,6,Dickens Christmas
2023-01-14,0,Dickens Christmas
2023-01-15,0,Dickens Christmas
2023-01-16,0,Dickens Christmas
2023-01-17,0,Dickens Christmas
2023-01-18,5,Dickens Christmas
2023-01-19,5,Dickens Christmas
2023-01-20,0,Dickens Christmas
2023-01-21,0,Dickens Christmas
2023-01-22,0,Dickens Christmas
2023-01-23,4,Dickens Christmas
2023-01-24,0,Dickens Christmas
2023-01-25,6,Dickens Christmas
2023-01-26,0,Dickens Christmas
2023-01-27,0,Dickens Christmas
2023-01-28,0,Dickens Christmas
2023-01-29,0,Dickens Christmas
2023-01-30,0,Dickens Christmas
2023-01-31,0,Dickens Christmas
2023-02-01,0,Dickens Christmas
2023-02-02,0,Dickens Christmas
2023-02-03,0,Dickens Christmas
2023-02-04,0,Dickens Christmas
2023-02-05,0,Dickens Christmas
2023-02-06,0,Dickens Christmas
